City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
321,cherskiy,48,RU,1544316800,75,68.75,161.3,-24.76,3.18
322,mayo,90,CA,1544313600,79,63.59,-135.9,28.4,8.05
323,nanyang,24,CN,1544316800,72,33.0,112.53,21.14,4.52
324,san policarpo,24,PH,1544316577,99,12.18,125.51,79.78,11.68
325,petropavlovsk-kamchatskiy,12,RU,1544315400,52,53.05,158.65,15.8,8.95
326,tabou,0,CI,1544316801,100,4.42,-7.36,82.88,8.66
327,berdigestyakh,80,RU,1544316545,60,62.1,126.7,-20.85,4.52
328,towada,75,JP,1544315400,92,40.61,141.21,26.6,9.17
329,caravelas,92,BR,1544316802,100,-17.73,-39.27,74.87,21.85
330,provideniya,24,RU,1544316689,100,64.42,-173.23,19.93,18.72
331,osakarovka,0,KZ,1544316802,68,50.56,72.58,1.25,12.01
332,komsomolskiy,48,RU,1544316803,83,67.55,63.78,14.39,10.22
333,san jeronimo,24,PE,1544316803,68,-13.65,-73.37,48.14,2.28
334,port blair,80,IN,1544316803,100,11.67,92.75,80.45,12.01
335,keetmanshoop,0,NA,1544313600,58,-26.57,18.15,57.2,14.99
336,vila velha,40,BR,1544313600,78,-3.71,-38.6,82.4,8.05
337,constantine,40,DZ,1544313600,93,36.36,6.61,46.4,3.36
338,rawson,100,AR,1544316616,24,-43.3,-65.11,82.25,20.07
339,nurobod,75,UZ,1544315400,87,40.91,69.8,48.2,16.11
340,dakar,0,SN,1544315400,69,14.69,-17.45,75.2,12.75
341,fairbanks,90,US,1544313480,94,64.84,-147.72,18.68,3.18
342,gigmoto,48,PH,1544316806,100,13.78,124.39,80.45,13.24
343,grand-lahou,8,CI,1544316806,89,5.24,-5.0,77.98,5.3
344,huangmei,92,CN,1544316806,100,30.1,115.95,31.81,12.57
345,svetlogorsk,20,RU,1544315400,71,53.14,59.15,5.0,2.24
346,sao joao da barra,76,BR,1544316752,100,-21.64,-41.05,73.43,14.47
347,ouagadougou,0,BF,1544313600,40,12.37,-1.53,69.8,2.24
348,clyde river,1,CA,1544313600,68,70.47,-68.59,-18.41,4.7
349,gamboma,92,CG,1544316807,100,-1.87,15.88,68.03,4.85
350,lazaro cardenas,20,MX,1544312700,54,28.39,-105.62,53.6,8.05
351,coahuayana,12,MX,1544316808,51,18.62,-100.35,76.63,2.17
352,pedernales,36,EC,1544316808,75,0.07,-80.05,75.46,7.65
353,saint-augustin,90,FR,1544313600,87,44.83,-0.61,57.2,19.46
